GlobalTick;ProblemType;ResourceType;PmId;VmId;AppId;CPUAll;MEMAll;STORAll;CPUUse;MEMUse;STORUse
2457;wasteOfResources;VM;2;2;;53;38;28;33;26;13;
2458;wasteOfResources;VM;2;2;;53;38;28;32;25;18;
2467;newApp;APP;;;17;;;;0;0;0
2468;wasteOfResources;VM;2;4;;30;31;23;39;27;14;
2469;wasteOfResources;VM;2;4;;30;31;23;40;21;14;
2470;wasteOfResources;VM;2;4;;30;31;23;38;27;13;
2471;wasteOfResources;VM;2;4;;30;31;23;37;27;14;
2472;wasteOfResources;VM;2;4;;30;31;23;41;23;13;
2495;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2508;wasteOfResources;VM;2;2;;47;41;32;32;28;16;
2509;wasteOfResources;VM;2;2;;47;41;32;32;25;17;
2510;wasteOfResources;VM;2;2;;47;41;32;34;23;16;
2511;wasteOfResources;VM;2;2;;47;41;32;38;20;21;
2512;wasteOfResources;VM;2;2;;47;41;32;33;21;19;
2513;wasteOfResources;VM;2;2;;47;41;32;38;23;18;
2522;wasteOfResources;VM;2;4;;30;31;22;34;24;15;
2523;wasteOfResources;VM;2;4;;30;31;22;39;21;11;
2524;wasteOfResources;VM;2;4;;30;31;22;44;29;15;
2525;wasteOfResources;VM;2;4;;30;31;22;41;25;13;
2545;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2563;wasteOfResources;VM;2;2;;48;38;28;37;19;14;
2564;wasteOfResources;VM;2;2;;48;38;28;34;21;21;
2565;wasteOfResources;VM;2;2;;48;38;28;36;19;17;
2566;wasteOfResources;VM;2;2;;48;38;28;39;18;19;
2575;wasteOfResources;VM;2;4;;30;31;22;40;27;14;
2576;wasteOfResources;VM;2;4;;30;31;22;32;26;12;
2577;wasteOfResources;VM;2;4;;30;31;22;39;23;13;
2578;wasteOfResources;VM;2;4;;30;31;22;35;22;14;
2579;wasteOfResources;VM;2;4;;30;31;22;40;22;14;
2595;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2616;wasteOfResources;VM;2;2;;49;35;28;34;22;17;
2629;wasteOfResources;VM;2;4;;30;31;21;37;26;13;
2645;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2646;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2666;wasteOfResources;VM;2;2;;47;36;31;29;26;16;
2667;wasteOfResources;VM;2;2;;47;36;31;31;16;17;
2679;wasteOfResources;VM;2;4;;30;31;22;42;28;11;
2696;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2697;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2698;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2699;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2717;wasteOfResources;VM;2;2;;53;37;32;30;19;20;
2729;wasteOfResources;VM;2;4;;30;31;22;39;21;15;
2730;wasteOfResources;VM;2;4;;30;31;22;37;27;12;
2731;wasteOfResources;VM;2;4;;30;31;22;38;25;14;
2733;newApp;APP;;;18;;;;0;0;0
2734;newApp;APP;;;19;;;;0;0;0
2749;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2767;wasteOfResources;VM;2;2;;46;35;30;35;23;16;
2781;wasteOfResources;VM;2;4;;30;31;22;40;23;15;
2799;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
