@relation cpu

@attribute CPU8ALL numeric
@attribute CPU9ALL numeric
@attribute CPU10ALL numeric
@attribute CPU8USE numeric
@attribute CPU9USE numeric
@attribute CPU10USE numeric
@attribute MEM8ALL numeric
@attribute MEM9ALL numeric
@attribute MEM10ALL numeric
@attribute MEM8USE numeric
@attribute MEM9USE numeric
@attribute MEM10USE numeric
@attribute STOR8ALL numeric
@attribute STOR9ALL numeric
@attribute STOR10ALL numeric
@attribute STOR8USE numeric
@attribute STOR9USE numeric
@attribute STOR10USE numeric
@attribute SLACpu numeric
@attribute SLAMemory numeric
@attribute SLAStorage numeric
@attribute EVAL numeric

@data
0,0,60,0,10,0,0,0,20,20,30,30,0,0,60,20,30,0,50,20,50,-25.941176
30,30,90,0,10,0,30,30,50,20,30,30,10,10,70,20,30,0,50,20,50,-25.709804
40,40,100,10,10,10,40,40,60,0,10,20,20,20,80,10,20,20,50,10,50,-12.729412
0,0,50,10,10,10,0,0,20,0,10,20,0,0,50,10,20,20,50,10,50,-12.756863
0,0,50,10,10,10,0,0,20,0,10,20,0,0,50,10,20,20,50,10,50,-12.941176
40,40,100,10,10,10,40,40,60,0,10,20,20,20,80,10,20,20,50,10,50,-12.729412
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-23.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-23.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-23.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-23.737255
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-23.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-23.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-23.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-23.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-23.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-23.737255
0,0,50,10,0,10,0,0,20,20,10,10,0,0,50,10,20,30,50,10,50,-28.941176
0,0,50,10,0,10,0,0,20,20,10,10,0,0,50,10,20,30,50,10,50,-28.941176
0,0,50,10,0,10,0,0,20,20,10,10,0,0,50,10,20,30,50,10,50,-28.941176
0,0,50,10,0,10,0,0,20,20,10,10,0,0,50,10,20,30,50,10,50,-28.941176
0,0,50,10,0,10,0,0,20,20,10,10,0,0,50,10,20,30,50,10,50,-28.941176
0,0,50,10,0,10,0,0,20,20,10,10,0,0,50,10,20,30,50,10,50,-28.941176
0,0,20,0,0,0,0,0,30,0,0,0,0,0,20,0,0,0,20,20,10,-5.709804
20,20,90,30,20,10,30,30,50,20,30,20,20,20,50,10,10,0,50,20,30,0.509804
0,0,60,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,50,20,30,-6.52549
40,40,100,40,40,50,20,20,60,30,30,20,20,20,60,20,30,20,50,20,30,-7.509804
20,20,70,10,20,10,30,30,60,30,10,10,20,20,70,10,0,10,30,20,50,0.54902
0,0,50,0,0,0,0,0,50,0,0,0,0,0,40,0,0,0,50,50,30,-5.388235
50,50,70,60,40,60,50,50,80,60,60,60,30,30,50,30,30,20,20,20,10,-16.376471
40,40,70,40,50,50,50,50,80,50,60,50,30,30,50,30,30,30,20,20,10,-18.368627
0,0,30,0,0,0,0,0,20,0,0,0,0,0,50,0,0,0,30,20,50,-5.729412
40,40,70,40,40,50,50,50,80,60,50,50,30,30,50,30,30,30,20,20,10,-18.388235
0,0,60,0,0,0,0,0,20,0,0,0,0,0,60,0,0,0,50,20,50,-5.670588
60,60,90,10,10,0,20,20,70,20,40,30,60,60,90,20,10,20,20,40,30,0.533333
40,40,70,20,30,30,40,40,70,60,60,50,20,20,80,30,30,30,30,20,50,-6.458824
0,0,60,10,10,0,0,0,20,40,30,20,0,0,60,20,10,20,50,20,50,-8.941176
20,20,90,20,20,10,40,40,70,70,50,60,20,20,80,30,30,40,50,20,50,-8.47451
0,0,50,0,0,0,0,0,20,0,0,0,0,0,50,0,0,0,50,10,50,-5.729412
10,10,70,0,0,0,10,10,40,0,0,0,0,0,30,0,0,0,50,20,20,0.239216
10,10,70,10,0,10,10,10,30,10,10,10,0,0,60,10,10,30,50,10,50,-6.737255
70,70,100,60,60,60,50,50,80,50,60,50,50,50,70,40,40,40,20,20,10,-21.772549
0,0,30,10,10,10,0,0,20,20,20,30,0,0,50,20,20,20,30,20,50,-11.941176
0,0,30,10,10,10,0,0,20,20,20,30,0,0,50,20,20,20,30,20,50,-11.941176
0,0,30,10,10,10,0,0,20,20,20,30,0,0,50,20,20,20,30,20,50,-11.941176
40,40,80,10,20,20,40,40,60,60,60,70,40,40,90,30,30,40,30,20,50,-11.470588
40,40,80,20,20,20,40,40,60,80,60,60,40,40,90,40,40,40,30,20,50,-14.705882
0,0,30,10,10,10,0,0,20,20,20,20,0,0,50,20,20,20,30,20,50,-14.721569
40,40,80,10,10,10,40,40,60,60,70,50,40,40,90,30,30,50,30,20,50,-14.705882
0,0,60,0,0,0,0,0,20,20,30,40,0,0,60,20,10,10,50,20,50,-9.941176
0,0,60,0,0,0,0,0,20,20,30,40,0,0,60,20,10,10,50,20,50,-9.698039
0,0,60,10,10,0,0,0,20,40,20,30,0,0,60,10,20,10,50,20,50,-11.941176
0,0,50,20,10,20,0,0,20,10,10,10,0,0,50,10,20,30,50,10,50,-17.552941
0,0,20,0,0,0,0,0,30,0,0,0,0,0,20,0,0,0,20,20,10,-5.709804
20,20,90,20,20,10,30,30,50,20,30,20,20,20,50,10,0,10,50,20,30,0.521569
0,0,60,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,50,20,30,-5.74902
40,40,90,10,10,20,30,30,60,10,10,10,20,20,80,10,10,10,30,20,50,0.517647
0,0,50,0,0,0,0,0,50,0,0,0,0,0,40,0,0,0,50,50,30,-5.627451
50,50,70,50,40,40,30,30,60,40,40,40,20,20,40,20,20,20,20,20,10,-8.752941
30,30,50,30,10,20,30,30,60,20,20,20,10,10,30,10,0,10,20,20,10,-8.721569
20,20,60,30,20,20,30,30,50,20,20,20,20,20,70,10,0,10,30,20,50,0.529412
20,20,50,30,20,30,20,20,50,40,60,40,30,30,50,30,30,30,20,20,10,-10.713725
20,20,80,30,20,30,20,20,90,40,60,50,30,30,70,30,30,30,20,20,10,-10.713725
0,0,60,0,0,0,0,0,20,0,0,0,0,0,60,0,0,0,50,20,50,-5.670588
40,40,70,20,20,30,40,40,90,10,20,20,20,20,60,10,10,0,20,40,30,0.478431
40,40,70,30,30,30,40,40,70,40,50,60,20,20,80,30,30,30,30,20,50,-3.478431
0,0,50,0,0,0,0,0,20,0,0,0,0,0,50,0,0,0,50,10,50,-5.498039
20,20,80,10,10,10,20,20,50,20,20,20,30,30,50,20,20,20,50,20,20,0.458824
0,0,60,10,10,10,0,0,20,20,30,30,0,0,60,10,20,20,50,20,50,-16.941176
0,0,60,10,10,10,0,0,20,20,30,30,0,0,60,10,20,20,50,20,50,-16.941176
0,0,60,10,10,10,0,0,20,20,30,30,0,0,60,10,20,20,50,20,50,-16.678431
0,0,60,10,10,10,0,0,20,20,30,30,0,0,60,10,20,20,50,20,50,-16.768627
0,0,60,10,10,10,0,0,20,20,30,30,0,0,60,10,20,20,50,20,50,-16.941176
