@relation MoveVm

@attribute CPU8 numeric
@attribute CPU9 numeric
@attribute CPU10 numeric
@attribute MEM8 numeric
@attribute MEM9 numeric
@attribute MEM10 numeric
@attribute STOR8 numeric
@attribute STOR9 numeric
@attribute STOR10 numeric
@attribute PMCPU8 numeric
@attribute PMCPU9 numeric
@attribute PMCPU10 numeric
@attribute PMMEM8 numeric
@attribute PMMEM9 numeric
@attribute PMMEM10 numeric
@attribute PMSTOR8 numeric
@attribute PMSTOR9 numeric
@attribute PMSTOR10 numeric
@attribute EVAL numeric

@data
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,50,50,50,0.088235
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.092157
20,20,20,30,30,30,10,10,10,20,80,80,30,80,80,10,80,80,0.215686
20,20,20,30,30,30,10,10,10,40,40,40,30,30,30,40,40,40,0.188235
20,20,20,30,30,30,10,10,10,20,80,80,30,80,80,10,80,80,0.215686
30,30,30,20,20,20,30,30,30,40,40,40,30,30,30,40,40,40,0.2
30,30,30,20,20,20,30,30,30,80,80,80,60,60,60,70,70,70,0.313725
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.203922
10,10,10,10,10,10,0,0,0,70,70,70,60,60,60,50,50,50,0.182353
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.203922
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,60,60,60,0.17451
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.196078
