@relation MoveVm-weka.filters.unsupervised.instance.Resample-S1-Z100.0

@attribute CPU8 numeric
@attribute CPU9 numeric
@attribute CPU10 numeric
@attribute MEM8 numeric
@attribute MEM9 numeric
@attribute MEM10 numeric
@attribute STOR8 numeric
@attribute STOR9 numeric
@attribute STOR10 numeric
@attribute PMCPU8 numeric
@attribute PMCPU9 numeric
@attribute PMCPU10 numeric
@attribute PMMEM8 numeric
@attribute PMMEM9 numeric
@attribute PMMEM10 numeric
@attribute PMSTOR8 numeric
@attribute PMSTOR9 numeric
@attribute PMSTOR10 numeric
@attribute EVAL numeric

@data
10,10,10,10,10,10,0,0,0,100,100,100,90,90,90,70,70,70,0.12549
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,50,50,50,0.235294
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,20,20,70,10,10,30,30,30,50,0.1
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,60,60,60,0.101961
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,50,50,50,0.080392
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.101961
10,10,10,10,10,10,0,0,0,60,60,60,70,70,70,40,40,40,0.121569
10,10,10,10,10,10,0,0,0,50,50,50,50,50,50,50,50,50,0.107843
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,50,50,50,50,50,50,0.143137
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
30,30,30,30,30,20,20,20,20,30,30,30,40,40,40,50,50,50,0.158824
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,20,20,20,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.119608
10,10,10,10,10,10,0,0,0,80,80,80,50,50,50,40,40,40,0.119608
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,20,20,20,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
30,30,30,20,20,20,30,30,30,80,80,80,80,80,80,60,60,60,0.3
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,50,50,50,0.086275
20,20,20,20,20,20,30,30,30,90,90,90,80,80,80,90,90,90,0.335294
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,80,80,80,0.260784
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.178431
20,20,20,20,20,20,20,20,20,90,90,90,70,70,70,80,80,80,0.35098
10,10,10,10,10,10,0,0,0,70,70,70,60,60,60,70,70,70,0.188235
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,40,40,40,0.135294
30,30,30,30,30,30,10,10,10,90,90,90,80,80,80,60,60,60,0.427451
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,70,70,70,0.103922
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,50,50,50,0.1
10,10,10,10,10,10,0,0,0,40,80,50,40,70,40,30,80,50,0.052941
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.072549
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,40,40,40,0.103922
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,30,30,30,0.143137
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,60,60,60,0.117647
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.094118
20,20,20,10,10,10,20,20,20,80,80,80,70,70,70,60,60,60,0.131373
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
20,20,20,10,10,10,30,30,40,80,80,80,70,70,70,70,70,80,0.268627
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
30,30,30,20,20,20,20,20,20,70,70,70,60,60,60,70,70,70,0.235294
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,20,20,20,0.098039
10,10,10,10,10,10,0,0,0,40,40,40,30,30,30,40,40,40,0.092157
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,60,60,60,0.111765
10,10,10,10,10,10,0,0,0,60,60,60,70,70,70,50,50,50,0.213725
30,30,30,30,30,30,20,20,20,90,90,90,80,80,80,60,60,60,0.388235
40,40,40,30,30,30,20,20,30,30,30,30,30,30,30,20,20,20,0.272549
30,30,30,40,40,40,20,20,20,30,30,30,40,40,40,20,20,20,0.231373
20,20,20,30,30,30,20,20,20,90,90,90,100,100,100,80,80,80,0.47451
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
40,40,40,40,40,30,20,20,20,80,80,80,80,80,80,60,60,60,0.37451
20,20,20,30,30,30,30,30,30,30,30,30,50,50,50,30,30,30,0.194118
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,50,50,50,0.115686
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.117647
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,50,50,50,0.088235
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,40,40,40,0.145098
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
30,30,10,30,30,10,30,30,0,80,80,60,70,70,60,50,50,30,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,50,50,50,0.109804
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.1
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,70,70,70,0.117647
10,10,10,10,10,10,0,0,0,90,90,90,70,70,70,50,50,50,0.113725
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,80,80,80,0.194118
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,60,60,60,0.090196
10,10,10,10,10,10,0,0,0,70,80,80,70,70,70,40,40,40,0.086275
30,30,30,30,30,30,30,30,30,80,80,80,90,90,90,60,60,60,0.368627
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
30,30,30,30,30,30,20,20,20,30,30,60,30,30,60,20,20,80,0.139216
10,10,10,10,10,10,0,0,0,60,60,60,80,80,80,40,40,40,0.098039
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
30,30,30,30,30,30,20,20,20,90,90,90,90,90,90,70,70,70,0.107843
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,40,40,40,0.086275
30,30,20,20,20,20,30,30,30,90,90,80,80,80,80,80,80,80,0.256863
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
40,40,40,40,40,30,30,30,30,60,60,60,50,50,50,40,40,40,0.294118
10,10,10,10,10,10,0,0,0,90,90,90,70,70,70,60,60,60,0.098039
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,20,20,20,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.080392
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
20,20,20,20,20,20,20,20,20,50,50,50,70,70,70,50,50,50,0.092157
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,60,60,60,0.207843
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,100,100,100,90,90,90,70,70,70,0.258824
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,50,50,50,0.105882
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,20,20,20,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,30,30,10,20,20,0,90,90,90,90,90,80,80,80,70,0.182353
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.217647
30,30,30,30,30,20,20,20,20,60,60,60,50,50,50,50,50,50,0.268627
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,60,60,60,0.103922
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,60,60,60,0.217647
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.094118
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,70,70,70,0.164706
10,10,10,10,10,10,0,0,0,10,10,30,10,10,70,0,0,20,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.105882
10,10,10,10,10,10,0,0,0,30,30,30,30,30,30,10,10,10,0.011765
40,40,40,20,20,20,10,10,10,80,80,80,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
30,30,30,30,30,30,10,10,10,90,90,90,90,90,90,60,60,60,0.315686
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,40,40,40,0.115686
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,70,70,70,60,60,60,0.184314
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.109804
20,20,20,30,30,20,20,20,20,80,80,80,90,90,80,60,60,60,0.121569
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.105882
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.115686
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
30,30,30,20,20,20,30,30,30,80,80,80,70,70,70,90,90,90,0.213725
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.092157
20,20,20,20,20,20,20,20,20,80,80,80,80,80,80,60,60,60,0.407843
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,80,80,80,0.194118
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,50,50,50,0.137255
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,60,60,60,50,50,50,0.129412
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,50,50,50,0.233333
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.113725
10,10,10,10,10,10,0,0,0,70,70,70,60,60,60,40,40,40,0.135294
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,30,30,30,0.101961
30,30,30,30,30,30,20,20,20,70,70,70,70,70,70,60,60,60,0.178431
10,10,10,10,10,10,0,0,0,30,30,30,70,70,70,20,20,20,0.121569
10,10,10,10,10,10,0,0,0,60,60,60,90,90,90,50,50,50,0.129412
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.127451
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.092157
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,30,30,30,0.084314
