@relation cpu

@attribute CPU8ALL numeric
@attribute CPU9ALL numeric
@attribute CPU10ALL numeric
@attribute CPU8USE numeric
@attribute CPU9USE numeric
@attribute CPU10USE numeric
@attribute MEM8ALL numeric
@attribute MEM9ALL numeric
@attribute MEM10ALL numeric
@attribute MEM8USE numeric
@attribute MEM9USE numeric
@attribute MEM10USE numeric
@attribute STOR8ALL numeric
@attribute STOR9ALL numeric
@attribute STOR10ALL numeric
@attribute STOR8USE numeric
@attribute STOR9USE numeric
@attribute STOR10USE numeric
@attribute SLACpu numeric
@attribute SLAMemory numeric
@attribute SLAStorage numeric
@attribute EVAL numeric

@data
0,0,20,10,10,10,0,0,30,10,10,10,0,0,20,10,20,10,10,30,20,-27.784314
0,0,40,10,10,10,0,0,70,10,10,10,0,0,50,10,20,10,10,30,20,-27.784314
30,30,50,20,20,30,40,40,80,20,20,20,30,30,50,30,30,30,10,30,20,-27.815686
70,70,90,30,30,30,40,40,80,30,30,30,50,50,80,40,50,50,10,30,20,-27.941176
0,0,20,10,10,10,0,0,30,10,10,10,0,0,20,10,20,10,10,30,20,-27.631373
0,0,40,10,10,10,0,0,70,10,10,10,0,0,50,10,20,10,10,30,20,-27.631373
10,10,40,0,0,0,10,10,50,0,0,0,0,0,50,0,0,0,20,30,40,0.180392
70,70,90,40,40,40,50,50,90,20,30,20,50,50,80,40,50,50,10,30,20,-33.435294
0,0,20,0,0,0,0,0,10,0,0,0,0,0,50,0,0,0,20,10,50,-5.764706
0,0,40,0,0,0,0,0,30,0,0,0,0,0,60,0,0,0,40,30,50,-5.615686
40,40,70,0,10,0,40,40,70,10,10,10,40,40,50,10,10,20,20,20,10,0.380392
0,0,50,0,0,0,0,0,40,0,0,0,0,0,60,0,0,0,50,40,60,-5.752941
50,50,80,10,20,20,50,50,90,20,20,20,50,50,70,30,30,30,20,20,10,-1.627451
40,40,100,0,0,0,40,40,60,0,0,0,20,20,60,0,0,0,50,10,30,0.2
0,0,20,0,10,10,0,0,10,10,10,10,0,0,50,10,20,30,20,10,50,-21.65098
70,70,100,20,20,20,60,60,90,20,20,20,60,60,80,30,40,30,20,20,10,-14.768627
60,60,90,20,30,30,50,50,80,20,20,10,40,40,50,30,30,30,20,20,10,-15.811765
0,0,60,0,0,0,0,0,30,0,0,0,0,0,40,0,0,0,50,30,40,-5.796078
0,0,50,0,0,0,0,0,20,0,0,0,0,0,30,0,0,0,40,10,30,-5.745098
0,0,30,0,0,0,0,0,50,0,0,0,0,0,20,0,0,0,20,50,20,-5.745098
0,0,60,0,0,0,0,0,10,0,0,0,0,0,40,0,0,0,50,10,30,-5.796078
40,40,70,0,0,0,40,40,70,0,0,0,20,20,50,0,0,0,20,20,30,0.215686
0,0,40,0,0,0,0,0,40,0,0,0,0,0,10,0,0,0,30,40,10,-5.623529
40,40,50,0,0,10,40,40,100,10,0,0,40,40,50,20,20,20,10,50,10,0.380392
0,0,30,0,0,0,0,0,20,0,0,0,0,0,40,0,0,0,20,20,40,-5.603922
0,0,40,0,0,0,0,0,60,0,0,0,0,0,50,0,0,0,30,50,50,-5.807843
60,60,90,30,20,20,60,60,80,10,20,20,30,30,70,30,30,50,20,20,40,-10.596078
60,60,90,0,0,0,60,60,80,0,0,0,30,30,70,0,0,0,20,10,30,0.196078
0,0,40,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,30,40,50,-5.627451
30,30,70,0,10,20,30,30,70,10,10,10,10,10,30,20,20,20,30,40,10,-13.756863
0,0,40,0,10,20,0,0,40,10,10,10,0,0,10,20,20,20,30,40,10,-13.941176
0,0,80,0,10,20,0,0,90,10,10,10,0,0,30,20,20,20,30,40,10,-13.941176
30,30,70,0,10,20,30,30,70,10,10,10,10,10,30,20,20,20,30,40,10,-13.756863
0,0,40,0,0,0,0,0,50,0,0,0,0,0,10,0,0,0,30,40,10,-5.756863
0,0,40,0,0,0,0,0,50,0,0,0,0,0,30,0,0,0,40,50,30,-5.768627
0,0,40,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,30,50,50,-5.8
0,0,40,0,0,0,0,0,10,0,0,0,0,0,50,0,0,0,40,10,50,-5.596078
0,0,40,0,0,0,0,0,60,0,0,0,0,0,20,0,0,0,40,50,20,-5.619608
40,40,70,0,0,0,40,40,70,0,0,0,20,20,70,0,0,0,20,20,40,0.227451
40,40,70,10,0,10,40,40,70,10,10,10,20,20,70,10,20,30,20,20,40,-1.941176
0,0,30,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,20,10,20,-5.811765
0,0,30,0,0,0,0,0,20,0,0,0,0,0,40,0,0,0,20,20,40,0.243137
40,40,80,0,0,0,40,40,80,0,0,0,20,20,40,0,0,0,30,30,10,0.247059
0,0,20,10,10,10,0,0,30,10,10,0,0,0,40,20,20,40,20,20,40,-12.776471
0,0,40,0,0,0,0,0,40,0,0,0,0,0,20,0,0,0,40,30,20,-5.580392
60,60,80,10,10,10,60,60,80,10,10,10,40,40,70,10,20,20,10,10,30,0.388235
0,0,10,0,0,0,0,0,40,0,0,0,0,0,10,0,0,0,10,40,10,-5.584314
