GlobalTick;PmId;VmId;AppId;Action;Preconditions;Estimation;Prediction;DestinationPmId;DestinationVmId
1321;2;;;CreateAppInsertIntoVm;false;3;20;;;0
1321;2;;;MoveApp;false;5;27;;;0
1321;2;;;MoveVm;false;0;30;;;0
1321;2;;;DoNothing;true;0;0;;;0
1321;2;;;Outsource;false;50;0;;;0
1321;2;;;TurnOffPmAndMoveVms;true;0;61;;;0
1322;2;;;CreateVmInsertApp;false;0;30;;;0
1322;2;;;CreateAppInsertIntoVm;false;3;7;;;0
1322;2;;;MoveApp;false;5;56;;;0
1322;2;;;MoveVm;false;0;59;;;0
1322;2;;;DoNothing;true;0;0;;;0
1322;2;;;Outsource;false;50;0;;;0
1322;2;;;TurnOffPmAndMoveVms;true;0;54;;;0
1323;2;;;CreateVmInsertApp;false;0;89;;;0
1323;2;;;CreateAppInsertIntoVm;false;3;88;;;0
1323;2;;;MoveApp;false;5;51;;;0
1323;2;;;MoveVm;false;0;69;;;0
1323;2;;;DoNothing;true;0;0;;;0
1323;2;;;Outsource;false;50;0;;;0
1323;2;;;TurnOffPmAndMoveVms;true;0;99;;;0
1324;2;;;CreateVmInsertApp;false;0;66;;;0
1324;2;;;CreateAppInsertIntoVm;false;3;46;;;0
1324;2;;;MoveApp;false;5;86;;;0
1324;2;;;MoveVm;false;0;88;;;0
1324;2;;;DoNothing;true;0;0;;;0
1324;2;;;Outsource;false;50;0;;;0
1324;2;;;TurnOffPmAndMoveVms;true;0;98;;;0
1509;;;31;CreateVmInsertApp;true;20;81;2;;1
1509;;;31;CreateAppInsertIntoVm;true;3;60;;7;3
1509;;;31;MoveApp;false;5;42;;;0
1509;;;31;MoveVm;false;0;25;;;0
1509;;;31;DoNothing;true;0;0;;;0
1509;;;31;Outsource;true;50;0;;;0
1509;;;31;TurnOffPmAndMoveVms;false;0;62;;;0
1546;;;32;CreateVmInsertApp;false;0;98;;;0
1546;;;32;CreateAppInsertIntoVm;true;3;10;;8;3
1546;;;32;MoveApp;false;5;22;;;0
1546;;;32;MoveVm;false;0;14;;;0
1546;;;32;DoNothing;true;0;0;;;0
1546;;;32;Outsource;true;50;0;;;0
1546;;;32;TurnOffPmAndMoveVms;false;0;3;;;0
1554;;;33;CreateVmInsertApp;false;0;88;;;0
1554;;;33;CreateAppInsertIntoVm;true;3;54;;9;3
